MATRICULA;NOME DO ALUNO;TELEFONE;EMAIL;RESPONSÁVEL 1;TELEFONE RESP1;EMAIL RESP1;RESPONSAVEL 2;TELEFONE RESP 2;EMAIL RESP2
4723716;Paulo Peixoto;81930166623;paulo.peixoto@hotmail.com;Joana Oliveira;81907947733;joana.oliveira@yahoo.com.br;Sr. Joao Pedro da Cunha;81989942954;sr..joao.pedro.da.cunha@hotmail.com
4471829;Pietra Porto;81907098692;pietra.porto@yahoo.com.br;Alice Cunha;81990472537;alice.cunha@gmail.com;Francisco Lopes;81981522085;francisco.lopes@gmail.com
6081489;Isabella Sales;81948638262;isabella.sales@hotmail.com;Dra. Sofia Viana;81906515895;dra..sofia.viana@hotmail.com;Anthony Martins;81906786164;anthony.martins@hotmail.com
3658615;Dr. Fernando Almeida;81953138749;dr..fernando.almeida@yahoo.com.br;Maria Clara Martins;81966072952;maria.clara.martins@yahoo.com.br;Fernanda Martins;81986241601;fernanda.martins@gmail.com
4625632;Matheus Cunha;81928160613;matheus.cunha@hotmail.com;Diogo Dias;81921948710;diogo.dias@yahoo.com.br;Maite da Mota;81974073456;maite.da.mota@hotmail.com
7141097;Maria Cecilia Farias;81946308698;maria.cecilia.farias@gmail.com;Luana Moreira;81936021180;luana.moreira@gmail.com;Emilly Nogueira;81901838102;emilly.nogueira@hotmail.com
9486787;Anthony da Mata;81928533192;anthony.da.mata@hotmail.com;Stephany Rocha;81970137489;stephany.rocha@yahoo.com.br;Livia Dias;81938473116;livia.dias@yahoo.com.br
2138971;Gustavo Mendes;81936412686;gustavo.mendes@hotmail.com;Joao Lucas Alves;81921470007;joao.lucas.alves@hotmail.com;Eloah Pinto;81935932447;eloah.pinto@gmail.com
4109751;Yasmin da Cunha;81959967530;yasmin.da.cunha@yahoo.com.br;Pietro Martins;81901747944;pietro.martins@gmail.com;Lavinia Sales;81908175808;lavinia.sales@yahoo.com.br
8784934;Luiz Felipe Teixeira;81956401437;luiz.felipe.teixeira@gmail.com;Dr. Samuel Aragao;81969175758;dr..samuel.aragao@hotmail.com;Maite Mendes;81908194815;maite.mendes@gmail.com
7776065;Isis Lopes;81903665379;isis.lopes@gmail.com;Srta. Carolina Moreira;81979538146;srta..carolina.moreira@yahoo.com.br;Isaac Silveira;81938989180;isaac.silveira@gmail.com
9559997;Dra. Alice Costa;81993699221;dra..alice.costa@yahoo.com.br;Pedro Miguel Peixoto;81992013821;pedro.miguel.peixoto@gmail.com;Ana Julia Novaes;81940454829;ana.julia.novaes@yahoo.com.br
2655476;Juliana Ribeiro;81980815527;juliana.ribeiro@hotmail.com;Natalia Pereira;81989012992;natalia.pereira@yahoo.com.br;Vicente Pinto;81993507770;vicente.pinto@yahoo.com.br
1172755;Dr. Thiago Peixoto;81982343991;dr..thiago.peixoto@yahoo.com.br;Marcelo Viana;81941874046;marcelo.viana@gmail.com;Luiz Henrique Melo;81901727474;luiz.henrique.melo@hotmail.com
9829952;Joao Guilherme Oliveira;81964442944;joao.guilherme.oliveira@gmail.com;Kevin Rocha;81906365998;kevin.rocha@gmail.com;Nina Silva;81964912363;nina.silva@hotmail.com
7405025;Dr. Leandro Farias;81971647317;dr..leandro.farias@gmail.com;Dra. Ana Julia da Mata;81974918010;dra..ana.julia.da.mata@yahoo.com.br;Barbara Cardoso;81922852029;barbara.cardoso@hotmail.com
3648294;Miguel da Cruz;81991354154;miguel.da.cruz@hotmail.com;Mariana Oliveira;81994549901;mariana.oliveira@yahoo.com.br;Igor Fogaca;81964382180;igor.fogaca@yahoo.com.br
4752937;Renan Caldeira;81983959338;renan.caldeira@hotmail.com;Dr. Marcos Vinicius Cardoso;81992094821;dr..marcos.vinicius.cardoso@yahoo.com.br;Heitor Duarte;81956398341;heitor.duarte@gmail.com
3999253;Luna Melo;81933516737;luna.melo@yahoo.com.br;Pietra Fernandes;81918948390;pietra.fernandes@yahoo.com.br;Ana Carolina Barros;81984925554;ana.carolina.barros@hotmail.com
5335905;Lorena Barbosa;81904700279;lorena.barbosa@gmail.com;Yago Mendes;81966915841;yago.mendes@yahoo.com.br;Maite Cardoso;81910151980;maite.cardoso@yahoo.com.br
4968838;Elisa Teixeira;81976019299;elisa.teixeira@gmail.com;Dr. Theo Aragao;81956630664;dr..theo.aragao@hotmail.com;Sra. Maria Luiza Fogaca;81934426155;sra..maria.luiza.fogaca@hotmail.com
5491837;Marina Viana;81978991125;marina.viana@gmail.com;Alexandre Souza;81913414948;alexandre.souza@hotmail.com;Vicente da Rocha;81908624338;vicente.da.rocha@gmail.com
5345910;Emanuella Nogueira;81925632794;emanuella.nogueira@gmail.com;Beatriz da Rosa;81932219589;beatriz.da.rosa@hotmail.com;Vitoria Melo;81927710518;vitoria.melo@gmail.com
5560503;Nicolas Farias;81979894744;nicolas.farias@gmail.com;Sr. Miguel Freitas;81991126619;sr..miguel.freitas@yahoo.com.br;Luiz Fernando Caldeira;81912063805;luiz.fernando.caldeira@hotmail.com
